Review,deskripsi_negatif,deskripsi_netral,deskripsi_positif,harga_negatif,harga_netral,harga_positif,pengiriman_negatif,pengiriman_netral,pengiriman_positif,pelayanan_negatif,pelayanan_netral,pelayanan_positif,kualitas_negatif,kualitas_netral,kualitas_positif,lain-lain
khimar terima materi diamond italiano kecewa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pesan jumat sabtu dikirim dikirim senin akar pennjual off suai informasi chat pesan arloji aktivitas dikirim tidak dikirim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
barang suai pesan terima selerr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pasminah syantik corak tidak alpa suai pesan recommended,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
suka asli gambar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yahud suai harga fungsi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bergonya lumayan bagus harga segitu corak suai bengok duluan tidak recommended urungin angan angan klen belanja cari bagus tertipuiu tidak enak kualitas produk standar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
senang barang bagus suai pesan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
tidak suai ygdigambar tidak suai asa kaya kecil kecil kerudung beda kaya digambar,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pesan dateng tidak pakai dicobain donk tara bahagia hijab instant suai ekspektasi tidak kecewa sukses hijabwanitacantik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pesan kerudung tidak dikirim bergonya chat refund dikirim kurang admin no respon awai profesional tanggap komplainan konsumen tidak alas pesan nilai barang tidak bagus respon jual tidak baik,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
barangnya gambar asli cepat terima bangetlah kerudungnya kualitas produk baik produk original harga produk baik cepat kirim baik respon jual baik,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
bagus barang laras pesan keren,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
angka disembunyikan kandung spam konten kurang logam ditarik nilai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
warna coklatnya gelap foto produk bahan enak tipis adem motifnya geulis dompet jilbabnya ekslusif euy cukup satisfied kualitas produk baik produk original cepat kirim baik,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
kemas super antar dikirim kemas super kemas super benda jual mekanis komplain,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
keren sukses agan berkah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
barang bagus harga bagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kerudung bagus bahan bagus lembut tidak kusut bagus bokok kerudung mutiara lepas sna kirim penyok perhatikan kurang bagus mutiara lepas pakai bagus kualitas produk baik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
